05-05-2021 03:41:46.351,-,SERIAL,"COM5 - 9600/8/N/1/N"
05-05-2021 00:51:45.422,169,RECV,65
05-05-2021 00:51:45.907,170,SENT,67
05-05-2021 00:51:45.922,171,RECV,67
05-05-2021 00:51:47.672,172,SENT,3F
05-05-2021 00:51:47.734,173,RECV,3F
05-05-2021 00:51:48.470,174,SENT,0D
05-05-2021 00:51:48.501,175,RECV,0D0D0A2B43475245473A20302C300D0A0D0A4F4B0D0A
05-05-2021 00:58:41.022,176,SENT,61
05-05-2021 00:58:41.085,177,RECV,61
05-05-2021 00:58:41.225,178,SENT,74
05-05-2021 00:58:41.273,179,RECV,74
05-05-2021 00:58:41.742,180,SENT,2B
05-05-2021 00:58:41.773,181,RECV,2B
05-05-2021 00:58:42.664,182,SENT,63
05-05-2021 00:58:42.711,183,RECV,63
05-05-2021 00:58:42.769,184,SENT,6F
05-05-2021 00:58:42.831,185,RECV,6F
05-05-2021 00:58:42.909,186,SENT,70
05-05-2021 00:58:42.956,187,RECV,70
05-05-2021 00:58:43.066,188,SENT,73
05-05-2021 00:58:43.081,189,RECV,73
05-05-2021 00:58:45.619,190,SENT,3D
05-05-2021 00:58:45.666,191,RECV,3D
05-05-2021 00:58:46.198,192,SENT,3F
05-05-2021 00:58:46.229,193,RECV,3F
05-05-2021 00:58:46.804,194,SENT,0D
05-05-2021 00:58:46.866,195,RECV,0D
05-05-2021 00:59:38.655,196,RECV,0D0A2B434F50533A2028312C2241542654222C2241542654222C22333130343130222C32292C2C28302C312C322C332C342C35292C28302C312C32290D0A0D0A4F4B0D0A
05-05-2021 01:02:02.444,197,SENT,61
05-05-2021 01:02:02.506,198,RECV,61
05-05-2021 01:02:02.655,199,SENT,74
05-05-2021 01:02:02.687,200,RECV,74
05-05-2021 01:02:03.421,201,SENT,2B
05-05-2021 01:02:03.437,202,RECV,2B
05-05-2021 01:02:04.373,203,SENT,63
05-05-2021 01:02:04.435,204,RECV,63
05-05-2021 01:02:04.435,205,SENT,6F
05-05-2021 01:02:04.498,206,RECV,6F
05-05-2021 01:02:04.629,207,SENT,70
05-05-2021 01:02:04.676,208,RECV,70
05-05-2021 01:02:04.832,209,SENT,73
05-05-2021 01:02:04.864,210,RECV,73
05-05-2021 01:02:05.942,211,SENT,3F
05-05-2021 01:02:05.958,212,RECV,3F
05-05-2021 01:02:06.157,213,SENT,0D
05-05-2021 01:02:06.204,214,RECV,0D0D0A2B434F50533A20300D0A0D0A4F4B0D0A
05-05-2021 01:06:53.805,215,SENT,61
05-05-2021 01:06:53.868,216,RECV,61
05-05-2021 01:06:53.914,217,SENT,74
05-05-2021 01:06:53.930,218,RECV,74
05-05-2021 01:06:54.825,219,SENT,2B
05-05-2021 01:06:54.871,220,RECV,2B
05-05-2021 01:06:55.503,221,SENT,63
05-05-2021 01:06:55.550,222,RECV,63
05-05-2021 01:06:55.785,223,SENT,67
05-05-2021 01:06:55.800,224,RECV,67
05-05-2021 01:06:55.879,225,SENT,61
05-05-2021 01:06:55.925,226,RECV,61
05-05-2021 01:06:56.270,227,SENT,74
05-05-2021 01:06:56.301,228,RECV,74
05-05-2021 01:06:56.458,229,SENT,74
05-05-2021 01:06:56.489,230,RECV,74
05-05-2021 01:06:57.219,231,SENT,3D
05-05-2021 01:06:57.234,232,RECV,3D
05-05-2021 01:06:58.256,233,SENT,3F
05-05-2021 01:06:58.303,234,RECV,3F
05-05-2021 01:06:58.459,235,SENT,0D
05-05-2021 01:06:58.490,236,RECV,0D0D0A2B43474154543A2028302C31290D0A0D0A4F4B0D0A
05-05-2021 01:07:18.712,237,SENT,61
05-05-2021 01:07:18.744,238,RECV,61
05-05-2021 01:07:18.884,239,SENT,74
05-05-2021 01:07:18.931,240,RECV,74
05-05-2021 01:07:20.974,241,SENT,2B
05-05-2021 01:07:21.006,242,RECV,2B
05-05-2021 01:07:21.640,243,SENT,63
05-05-2021 01:07:21.687,244,RECV,63
05-05-2021 01:07:21.899,245,SENT,67
05-05-2021 01:07:21.939,246,RECV,67
05-05-2021 01:07:22.054,247,SENT,61
05-05-2021 01:07:22.067,248,RECV,61
05-05-2021 01:07:22.309,249,SENT,74
05-05-2021 01:07:22.323,250,RECV,74
05-05-2021 01:07:22.478,251,SENT,74
05-05-2021 01:07:22.513,252,RECV,74
05-05-2021 01:07:23.327,253,SENT,3F
05-05-2021 01:07:23.390,254,RECV,3F
05-05-2021 01:07:24.077,255,SENT,0D
05-05-2021 01:07:24.132,256,RECV,0D0D0A2B43474154543A20300D0A0D0A4F4B0D0A
05-05-2021 01:07:26.913,257,SENT,61
05-05-2021 01:07:26.929,258,RECV,61
05-05-2021 01:07:27.101,259,SENT,74
05-05-2021 01:07:27.116,260,RECV,74
05-05-2021 01:07:28.266,261,SENT,2B
05-05-2021 01:07:28.297,262,RECV,2B
05-05-2021 01:07:28.564,263,SENT,63
05-05-2021 01:07:28.610,264,RECV,63
05-05-2021 01:07:28.900,265,SENT,67
05-05-2021 01:07:28.915,266,RECV,67
05-05-2021 01:07:29.040,267,SENT,61
05-05-2021 01:07:29.103,268,RECV,61
05-05-2021 01:07:29.422,269,SENT,74
05-05-2021 01:07:29.485,270,RECV,74
05-05-2021 01:07:29.610,271,SENT,74
05-05-2021 01:07:29.672,272,RECV,74
05-05-2021 01:07:30.728,273,SENT,3D
05-05-2021 01:07:30.790,274,RECV,3D
05-05-2021 01:07:30.837,275,SENT,31
05-05-2021 01:07:30.853,276,RECV,31
05-05-2021 01:07:31.660,277,SENT,0D
05-05-2021 01:07:31.677,278,RECV,0D
05-05-2021 01:07:35.972,279,RECV,0D0A2B434D45204552524F523A206E6F206E6574776F726B20736572766963650D0A
05-05-2021 01:07:48.578,280,SENT,61742B6373713D3F0D
05-05-2021 01:07:48.585,281,RECV,61742B6373713D3F0D0D0A2B4353513A2028302D33312C3939292C28302D372C3939290D0A0D0A4F4B0D0A
05-05-2021 01:07:55.598,282,SENT,617464373139323636323833370D
05-05-2021 01:07:55.627,283,RECV,617464373139323636323833370D
05-05-2021 01:08:15.123,284,SENT,6174680D
05-05-2021 01:08:15.165,285,RECV,0D0A4F4B0D0A
05-05-2021 01:13:36.055,286,SENT,61
05-05-2021 01:13:36.102,287,RECV,61
05-05-2021 01:13:36.183,288,SENT,74
05-05-2021 01:13:36.214,289,RECV,74
05-05-2021 01:13:39.797,290,SENT,2B
05-05-2021 01:13:39.845,291,RECV,2B
05-05-2021 01:13:41.358,292,SENT,63
05-05-2021 01:13:41.405,293,RECV,63
05-05-2021 01:13:41.498,294,SENT,6C
05-05-2021 01:13:41.530,295,RECV,6C
05-05-2021 01:13:41.853,296,SENT,76
05-05-2021 01:13:41.904,297,RECV,76
05-05-2021 01:13:42.076,298,SENT,6C
05-05-2021 01:13:42.092,299,RECV,6C
05-05-2021 01:13:42.894,300,SENT,0D
05-05-2021 01:13:42.910,301,RECV,0D
05-05-2021 01:13:42.972,302,RECV,0D0A4552524F520D0A
05-05-2021 01:13:46.722,303,SENT,61
05-05-2021 01:13:46.769,304,RECV,61
05-05-2021 01:13:46.941,305,SENT,74
05-05-2021 01:13:46.957,306,RECV,74
05-05-2021 01:13:47.379,307,SENT,2B
05-05-2021 01:13:47.394,308,RECV,2B
05-05-2021 01:13:47.913,309,SENT,63
05-05-2021 01:13:47.960,310,RECV,63
05-05-2021 01:13:48.007,311,SENT,6C
05-05-2021 01:13:48.023,312,RECV,6C
05-05-2021 01:13:48.382,313,SENT,76
05-05-2021 01:13:48.398,314,RECV,76
05-05-2021 01:13:48.598,315,SENT,6C
05-05-2021 01:13:48.644,316,RECV,6C
05-05-2021 01:13:49.645,317,SENT,3F
05-05-2021 01:13:49.708,318,RECV,3F
05-05-2021 01:13:49.880,319,SENT,0D
05-05-2021 01:13:49.896,320,RECV,0D0D0A2B434C564C3A20380D0A0D0A4F4B0D0A
05-05-2021 01:14:15.568,321,SENT,61
05-05-2021 01:14:15.616,322,RECV,61
05-05-2021 01:14:15.772,323,SENT,74
05-05-2021 01:14:15.803,324,RECV,74
05-05-2021 01:14:17.166,325,SENT,2B
05-05-2021 01:14:17.243,326,RECV,2B
05-05-2021 01:14:17.744,327,SENT,63
05-05-2021 01:14:17.806,328,RECV,63
05-05-2021 01:14:17.947,329,SENT,70
05-05-2021 01:14:17.993,330,RECV,70
05-05-2021 01:14:18.651,331,SENT,74
05-05-2021 01:14:18.683,332,RECV,74
05-05-2021 01:14:18.851,333,SENT,6F
05-05-2021 01:14:18.867,334,RECV,6F
05-05-2021 01:14:18.867,335,SENT,6E
05-05-2021 01:14:18.929,336,RECV,6E
05-05-2021 01:14:18.992,337,SENT,65
05-05-2021 01:14:19.054,338,RECV,65
05-05-2021 01:14:20.761,339,SENT,3D
05-05-2021 01:14:20.792,340,RECV,3D
05-05-2021 01:14:20.995,341,SENT,31
05-05-2021 01:14:21.042,342,RECV,31
05-05-2021 01:14:21.807,343,SENT,0D
05-05-2021 01:14:21.854,344,RECV,0D0D0A4F4B0D0A
05-05-2021 01:14:27.772,345,SENT,61
05-05-2021 01:14:27.803,346,RECV,61
05-05-2021 01:14:27.912,347,SENT,74
05-05-2021 01:14:27.928,348,RECV,74
05-05-2021 01:14:29.790,349,SENT,2B
05-05-2021 01:14:29.805,350,RECV,2B
05-05-2021 01:14:30.865,351,SENT,63
05-05-2021 01:14:30.927,352,RECV,63
05-05-2021 01:14:30.989,353,SENT,70
05-05-2021 01:14:31.052,354,RECV,70
05-05-2021 01:14:32.691,355,SENT,74
05-05-2021 01:14:32.754,356,RECV,74
05-05-2021 01:14:32.809,357,SENT,6F
05-05-2021 01:14:32.871,358,RECV,6F
05-05-2021 01:14:32.934,359,SENT,6E
05-05-2021 01:14:32.981,360,SENT,65
05-05-2021 01:14:32.996,361,RECV,6E65
05-05-2021 01:14:33.918,362,SENT,3D
05-05-2021 01:14:33.934,363,RECV,3D
05-05-2021 01:14:34.980,364,SENT,36
05-05-2021 01:14:35.011,365,RECV,36
05-05-2021 01:14:35.511,366,SENT,0D
05-05-2021 01:14:35.573,367,RECV,0D0D0A4F4B0D0A
05-05-2021 01:15:56.701,368,SENT,61
05-05-2021 01:15:56.733,369,RECV,61
05-05-2021 01:15:56.842,370,SENT,74
05-05-2021 01:15:56.857,371,RECV,74
05-05-2021 01:15:57.649,372,SENT,2B
05-05-2021 01:15:57.665,373,RECV,2B
05-05-2021 01:15:59.187,374,SENT,63
05-05-2021 01:15:59.234,375,RECV,63
05-05-2021 01:15:59.421,376,SENT,70
05-05-2021 01:15:59.478,377,RECV,70
05-05-2021 01:15:59.666,378,SENT,74
05-05-2021 01:15:59.728,379,RECV,74
05-05-2021 01:15:59.837,380,SENT,6F
05-05-2021 01:15:59.853,381,RECV,6F
