05-14-2021 20:49:36.550,-,SERIAL,"COM8 - 115200/8/N/1/N"
05-14-2021 20:40:46.048,8981,RECV,414142370D0A
05-14-2021 20:40:47.046,8982,RECV,414142370D0A
05-14-2021 20:40:48.053,8983,RECV,414142370D0A
05-14-2021 20:40:49.056,8984,RECV,414142370D0A
05-14-2021 20:40:50.057,8985,RECV,414142370D0A
05-14-2021 20:40:51.107,8986,RECV,414142370D0A
05-14-2021 20:40:52.047,8987,RECV,414142370D0A
05-14-2021 20:40:53.108,8988,RECV,414142370D0A
05-14-2021 20:40:54.109,8989,RECV,414142370D0A
05-14-2021 20:40:55.101,8990,RECV,414142370D0A
05-14-2021 20:40:56.101,8991,RECV,414142370D0A
05-14-2021 20:40:57.098,8992,RECV,414142370D0A
05-14-2021 20:40:58.100,8993,RECV,414142370D0A
05-14-2021 20:40:59.103,8994,RECV,414142370D0A
05-14-2021 20:41:00.102,8995,RECV,414142370D0A
05-14-2021 20:41:01.098,8996,RECV,414142370D0A
05-14-2021 20:41:02.103,8997,RECV,414142370D0A
05-14-2021 20:41:03.103,8998,RECV,414142370D0A
05-14-2021 20:41:04.100,8999,RECV,414142370D0A
05-14-2021 20:41:05.098,9000,RECV,414142370D0A
05-14-2021 20:41:06.093,9001,RECV,414142370D0A
05-14-2021 20:41:07.097,9002,RECV,414142370D0A
05-14-2021 20:41:08.094,9003,RECV,414142370D0A
05-14-2021 20:41:09.095,9004,RECV,414142370D0A
05-14-2021 20:41:10.092,9005,RECV,414142370D0A
05-14-2021 20:41:11.093,9006,RECV,414142370D0A
05-14-2021 20:41:12.090,9007,RECV,414142370D0A
05-14-2021 20:41:13.089,9008,RECV,414142370D0A
05-14-2021 20:41:14.088,9009,RECV,414142370D0A
05-14-2021 20:41:15.089,9010,RECV,414142370D0A
05-14-2021 20:41:16.089,9011,RECV,414142370D0A
05-14-2021 20:41:17.073,9012,RECV,414142370D0A
05-14-2021 20:41:18.074,9013,RECV,414142370D0A
05-14-2021 20:41:19.133,9014,RECV,414142370D0A
05-14-2021 20:41:20.071,9015,RECV,414142370D0A
